Date,Open,High,Low,Close,TrndrUp,TrndrDn
5/3/1948,15.6,15.6,15.6,15.6,15.22,
5/4/1948,15.59,15.59,15.59,15.59,15.22,
5/5/1948,15.5,15.5,15.5,15.5,15.22,
5/6/1948,15.63,15.63,15.63,15.63,15.22,
5/7/1948,15.72,15.72,15.72,15.72,15.22,
5/10/1948,15.81,15.81,15.81,15.81,15.22,
5/11/1948,15.86,15.86,15.86,15.86,15.22,
5/12/1948,15.88,15.88,15.88,15.88,15.22,
5/13/1948,16,16,16,16,15.26,
5/14/1948,15.39,15.39,15.39,15.39,15.26,
5/17/1948,16.61,16.61,16.61,16.61,15.26,
5/18/1948,16.39,16.39,16.39,16.39,15.26,
5/19/1948,16.37,16.37,16.37,16.37,15.26,
5/20/1948,16.46,16.46,16.46,16.46,15.26,
5/21/1948,16.5,16.5,16.5,16.5,15.26,
5/24/1948,16.54,16.54,16.54,16.54,15.26,
5/25/1948,16.53,16.53,16.53,16.53,15.26,
5/26/1948,16.68,16.68,16.68,16.68,15.26,
5/27/1948,16.68,16.68,16.68,16.68,15.26,
5/28/1948,16.69,16.69,16.69,16.69,15.26,
6/1/1948,16.74,16.74,16.74,16.74,15.26,
6/2/1948,16.76,16.76,16.76,16.76,15.26,
6/3/1948,16.72,16.72,16.72,16.72,15.26,
6/4/1948,16.59,16.59,16.59,16.59,15.26,
6/7/1948,16.54,16.54,16.54,16.54,15.26,
6/8/1948,16.82,16.82,16.82,16.82,15.84,
6/9/1948,16.89,16.89,16.89,16.89,16.01,
6/10/1948,16.9,16.9,16.9,16.9,16.06,
6/11/1948,16.95,16.95,16.95,16.95,16.12,
6/14/1948,16.97,16.97,16.97,16.97,16.16,
6/15/1948,17.06,17.06,17.06,17.06,16.21,
6/16/1948,17.01,17.01,17.01,17.01,16.25,
6/17/1948,16.99,16.99,16.99,16.99,16.28,
6/18/1948,16.96,16.96,16.96,16.96,16.28,
6/21/1948,16.79,16.79,16.79,16.79,16.28,
6/22/1948,16.76,16.76,16.76,16.76,16.28,
6/23/1948,16.93,16.93,16.93,16.93,16.28,
6/24/1948,16.89,16.89,16.89,16.89,16.28,
6/25/1948,16.83,16.83,16.83,16.83,16.28,
6/28/1948,16.61,16.61,16.61,16.61,16.28,
6/29/1948,16.69,16.69,16.69,16.69,16.28,
6/30/1948,16.74,16.74,16.74,16.74,16.28,
7/1/1948,16.7,16.7,16.7,16.7,16.28,
7/2/1948,16.85,16.85,16.85,16.85,16.28,
7/6/1948,16.85,16.85,16.85,16.85,16.28,
7/7/1948,16.79,16.79,16.79,16.79,16.28,
7/8/1948,16.81,16.81,16.81,16.81,16.28,
7/9/1948,16.92,16.92,16.92,16.92,16.28,
7/12/1948,16.88,16.88,16.88,16.88,16.28,
7/13/1948,16.78,16.78,16.78,16.78,16.28,
7/14/1948,16.8,16.8,16.8,16.8,16.28,
7/15/1948,16.48,16.48,16.48,16.48,16.28,
7/16/1948,16.25,16.25,16.25,16.25,,17.46
7/19/1948,15.72,15.72,15.72,15.72,,17.46
7/20/1948,15.96,15.96,15.96,15.96,,17.46
7/21/1948,16.09,16.09,16.09,16.09,,17.46
7/22/1948,16.21,16.21,16.21,16.21,,17.46
7/23/1948,16.27,16.27,16.27,16.27,,17.46
7/26/1948,16.12,16.12,16.12,16.12,,17.46
7/27/1948,16.29,16.29,16.29,16.29,,17.46
7/28/1948,16.18,16.18,16.18,16.18,,17.46
7/29/1948,16.05,16.05,16.05,16.05,,17.45
7/30/1948,15.85,15.85,15.85,15.85,,17.33
8/2/1948,15.85,15.85,15.85,15.85,,17.28
8/3/1948,15.9,15.9,15.9,15.9,,17.28
8/4/1948,16.15,16.15,16.15,16.15,,17.28
8/5/1948,16.09,16.09,16.09,16.09,,17.28
8/6/1948,16.12,16.12,16.12,16.12,,17.28
8/9/1948,15.96,15.96,15.96,15.96,,16.81
8/10/1948,15.74,15.74,15.74,15.74,,16.68
8/11/1948,15.67,15.67,15.67,15.67,,16.59
