,cad_ig_er_calc_index,levered_er_index,credit_fund_estimated_index
2002-11-25,100.65318300000001,101.64925610214313,114.10747989285616
2002-11-26,100.60525300000003,101.50400972422233,113.95300411791823
2002-11-27,100.73895300000002,101.90865957868118,114.4158429180981
2002-11-29,100.64621500000001,101.62714824658477,114.11694937449437
2002-12-02,100.76814600000002,101.99640591539492,114.55737092730025
2002-12-03,100.73493400000002,101.8955219221083,114.45266889012177
2002-12-04,100.72319300000004,101.85985961077317,114.42120977630623
2002-12-05,100.70543400000003,101.80594788881058,114.36924536233579
2002-12-06,100.78900700000003,102.05937328780824,114.66253635330388
2002-12-09,100.73124100000001,101.88379045672096,114.49087432861992
2002-12-10,100.79734800000001,102.0843471152994,114.72465428916641
2002-12-11,100.75406500000001,101.95280661736028,114.58524663433249
2002-12-12,100.79814100000002,102.08657430767636,114.74398960601835
2002-12-13,100.80176400000002,102.09754867591832,114.76463337634644
2002-12-16,100.79926800000003,102.08986372538054,114.78129410028333
2002-12-17,100.80651300000002,102.11184344831388,114.81483970284543
2002-12-18,100.80210500000003,102.09841464143783,114.80846309739108
2002-12-19,100.79274100000002,102.06992781322869,114.78505792968632
2002-12-20,100.84145000000002,102.21787289208822,114.96001193549974
2002-12-23,100.85964600000001,102.27310513026028,115.04796394265959
2002-12-24,100.82387200000002,102.16424548289437,114.93374288972329
2002-12-26,100.85964200000002,102.27291487208113,115.07300842190598
2002-12-27,100.82967700000003,102.18172661479778,114.97885027601045
2002-12-30,100.85449900000003,102.25709031590372,115.089147971438
2002-12-31,100.89157500000002,102.36983155353069,115.22437377213058
2003-01-02,100.94035405868101,102.5182454915344,115.4084141632197
2003-01-03,100.83738916181476,102.20448847954121,115.06384504060941
2003-01-06,100.82480697349652,102.16612938763673,115.04631271569026
2003-01-07,100.786918151421,102.05091717116933,114.92497869176319
2003-01-08,100.85755738765725,102.26545905254254,115.17493275966693
2003-01-09,100.98431251790849,102.65099906332532,115.6175349595864
2003-01-10,100.95941853069301,102.57505077165507,115.54035560377554
2003-01-13,101.01554854952852,102.74603425627937,115.75815592355814
2003-01-14,101.00239632381151,102.70586787182658,115.72134831412141
2003-01-15,100.98238347099453,102.64478295746282,115.66106355343919
2003-01-16,101.02627433286679,102.77858942679836,115.82035877829455
2003-01-17,101.01333397945731,102.73906121953885,115.78424902279829
2003-01-21,101.01917257490254,102.7567411218392,115.83810827683436
2003-01-22,100.99392344934306,102.67965707816623,115.75983073353906
2003-01-23,100.99307999577604,102.67705072441551,115.76561716373739
2003-01-24,100.96249975939355,102.58374656284205,115.66914446607733
2003-01-27,100.95302402266955,102.55476171160367,115.66261330673863
2003-01-28,100.86759105479106,102.29436260974477,115.37760487568521
2003-01-29,100.90239864816606,102.40022881853241,115.50598216255497
2003-01-30,100.84192322919532,102.21607574156586,115.30724746080185
2003-01-31,100.77719926600133,102.01922430559254,115.09409008066984
2003-02-03,100.83511506571432,102.19501231110647,115.31930889514041
2003-02-04,100.76870217755483,101.99305304671257,115.10038283626172
2003-02-05,100.88955716850006,102.35998969207894,115.52341522724335
2003-02-06,100.77876712107681,102.02274171035067,115.15176706392131
2003-02-07,100.8454503986573,102.22522734005625,115.38914357127308
2003-02-10,100.93944906125331,102.51098061067601,115.73855727944282
2003-02-11,100.88873792891107,102.35644493861251,115.57296590405952
2003-02-12,100.90825237734755,102.41580630810657,115.64909551256434
2003-02-13,100.93422994007857,102.49486962784867,115.74742069134163
2003-02-14,100.92843876367357,102.47719377310679,115.73649082469363
2003-02-18,100.75314469668982,101.94310762966575,115.1694778620963
2003-02-19,100.73120582370605,101.8764801562895,115.10311660963777
2003-02-20,100.74866511075979,101.92942003956739,115.17186042517997
2003-02-21,100.85260260240905,102.24485338555588,115.53729858535822
2003-02-24,100.81078203565579,102.11755895008098,115.42061919960524
2003-02-25,100.8496515238403,102.23564539880033,115.56316454713263
2003-02-26,100.8466711867148,102.22654789786819,115.56242059059805
2003-02-27,100.8641032330433,102.27952599189605,115.63212795101407
2003-02-28,100.83943221620855,102.20444069245804,115.55691850921941
2003-03-03,100.90271141204855,102.39674707715264,115.80345091321664
2003-03-04,100.88437739503955,102.34089696285183,115.75030777725223
2003-03-05,100.81242555941255,102.1218913928384,115.5125230571582
2003-03-06,100.91223961239153,102.42518947097751,115.86559133104662
2003-03-07,100.42468309403552,100.94055683365812,114.19595482638375
2003-03-10,100.40952615272327,100.89475290193202,114.17318236420684
2003-03-11,100.38653094494927,100.82540073627816,114.10439050247665
2003-03-12,100.25466666534003,100.42804529677663,113.66430888224954
2003-03-13,100.34541359247375,100.70072386908734,113.98267317930346
2003-03-14,100.262620957113,100.45143338151678,113.71021440352163
2003-03-17,100.364872550544,100.75866655841902,114.08721819404484
2003-03-18,100.29483866375774,100.54770741203728,113.85818321786729
2003-03-19,100.34086842701998,100.68611180319726,114.02471694221308
2003-03-20,100.32019574330249,100.62384726391281,113.96401927424162
2003-03-21,100.4219105935545,100.92988235153678,114.32041527500607
2003-03-24,100.26993055172176,100.47153666362541,113.83067439758634
2003-03-25,100.41662387502453,100.91246844145964,114.34022031819579
2003-03-26,100.62212588847903,101.53198553384041,115.05195870480864
2003-03-27,100.7368668499793,101.87928761890672,115.4553577854388
2003-03-28,100.72548728923503,101.84472828753131,115.42601797741207
2003-03-31,100.58638000345654,101.42266906302491,114.97713344925324
2003-04-01,100.5543015271853,101.32560017512176,114.87694533365942
2003-04-02,100.56879661976555,101.36938569280923,114.936529115717
2003-04-03,100.55157846357605,101.31728669618646,114.88720954462288
2003-04-04,100.62460782122405,101.53800983236248,115.1471268567668
2003-04-07,100.61115897427655,101.49719693268398,115.12998177563072
2003-04-08,100.52733623593507,101.24348077941863,114.85206636390728
2003-04-09,100.67133676310107,101.67852660222819,115.35558232964536
2003-04-10,100.76779112663257,101.97075126471039,115.69716192506255
2003-04-11,100.77289119574881,101.98620060043046,115.7247359647148
2003-04-14,100.85685921795833,102.24103684478078,116.04424850913821
2003-04-15,100.84980286120285,102.2195436329053,116.03013223150901
2003-04-16,100.91276424858158,102.41095961096377,116.2576872806276
2003-04-17,100.9850772760471,102.63108579720905,116.5178737380393
2003-04-21,101.06635048428834,102.87874435410828,116.84025500462458
2003-04-22,101.1208006584001,103.0449903713506,117.03931193567492
2003-04-23,101.1202114516021,103.04315523776737,117.04756551462063
2003-04-24,100.93037285516635,102.46277542333397,116.39859147317988
2003-04-25,100.95907045475936,102.55014166282477,116.50796535334165
2003-04-28,100.96991932581909,102.58310002947661,116.57597578736254
2003-04-29,101.16318924472058,103.17213959057241,117.25570837071098
2003-04-30,101.13514340470209,103.08629730500907,117.16843130247506
2003-05-01,101.16735707568382,103.18476887727304,117.29063975406599
2003-05-02,101.20893752048859,103.31196379622556,117.445428743154
2003-05-05,101.18046692693932,103.22467539995436,117.37694864986649
2003-05-06,101.13941212724033,103.09898870119542,117.2443013843662
2003-05-07,101.10626520918981,102.99758738641805,117.1391349333041
2003-05-08,101.09378492136234,102.9594122814133,117.10595282441292
2003-05-09,101.05756383702158,102.84870986120312,116.99021696914782
2003-05-12,101.02890760297434,102.76111606602429,116.92136024389299
2003-05-13,101.00321051882185,102.68266924779915,116.84258491470791
2003-05-14,100.79051493606985,102.03393877753348,116.11483367152992
2003-05-15,100.8374264916976,102.1763761024658,116.28732707771039
2003-05-16,100.8465148047736,102.203969481506,116.32912060518277
2003-05-19,100.86048526116384,102.2463441710746,116.40902703111686
2003-05-20,100.7730011675656,101.98025208743856,116.11648696052438
2003-05-21,100.8355034982781,102.1699718676617,116.34287933197731
2003-05-22,100.7574356153746,101.93263515145333,116.08290869742162
2003-05-23,100.78131866900861,102.00508649104296,116.17556622994529
2003-05-27,100.83249692934314,102.1603513179543,116.39324096885018
2003-05-28,100.71597220479687,101.80614004543988,115.99997173365718
2003-05-29,100.5358091104036,101.25976693830549,115.38767885123946
2003-05-30,100.61316268095611,101.49346542703391,115.66415638110061
2003-06-02,100.75613108730988,101.92602291304107,116.18778711234651
2003-06-03,100.74214045260462,101.8835301580609,116.14958273135908
2003-06-04,100.82788416653412,102.14364218486577,116.45633126178492
2003-06-05,100.85914138538486,102.23860393740466,116.57485070212326
2003-06-06,100.7984359336231,102.05396314223267,116.37452323478993
2003-06-09,100.77200334988885,101.97357706934741,116.31344227607346
2003-06-10,100.76800098110859,101.96139326848197,116.3097424912961
2003-06-11,100.96183690174585,102.54975428709633,116.99109985080595
2003-06-12,100.9179763073461,102.41606928415837,116.8488649341688
2003-06-13,100.87646245098085,102.28964526686266,116.71476348530368
2003-06-16,101.06713542074186,102.86957634452367,117.40696025435908
2003-06-17,101.14643619869183,103.11168763113048,117.69341874911848
2003-06-18,101.13120560652985,103.06507417445621,117.65021569211184
2003-06-19,101.18359053010136,103.22520023280202,117.8428844330093
2003-06-20,101.19504575952682,103.2602253901632,117.89273600712258
2003-06-23,101.06448802581384,102.8604573737664,117.46594089694311
2003-06-24,101.1074547208591,102.99161426438052,117.62562692961693
2003-06-25,101.22262548046884,103.34353137987556,118.03759262947608
2003-06-26,101.27304402724357,103.49792228608476,118.22404827365733
2003-06-27,101.19373215122035,103.25472539822046,117.95626980739134
2003-06-30,101.05963413214059,102.84413632508826,117.51716583707422
2003-07-01,101.12225652382733,103.0352870305465,117.74564345246377
2003-07-02,101.13858683415684,103.08517089718673,117.8127076241239
2003-07-03,101.20692876923032,103.29410888160568,118.06149564390466
2003-07-07,101.21667590429107,103.32381746109131,118.13528252059469
2003-07-08,101.1846357668183,103.22566203229961,118.03322909567959
2003-07-09,101.29502527468884,103.56347672038343,118.42953723764997
2003-07-10,101.28856316931005,103.54362220912361,118.4169787071271
2003-07-11,101.32338892316857,103.65039148025178,118.5492750266566
2003-07-14,101.37383571958432,103.8051052349416,118.75696659337535
2003-07-15,101.53985986865706,104.31508892821607,119.34983945891797
2003-07-16,101.48324758809306,104.14057590825972,119.1596829327926
2003-07-17,101.5840957797158,104.45100834346695,119.52402354632521
2003-07-18,101.63543243982305,104.60933046281471,119.71434852878495
2003-07-21,101.76134512542305,104.99801787147105,120.18702727316428
2003-07-22,101.6875641255413,104.76960020467519,119.93478324904923
2003-07-23,101.69294265540454,104.78619040109768,119.9629326021328
2003-07-24,101.81238516429978,105.15538291445355,120.39479329667418
2003-07-25,101.82393220505854,105.19112690229245,120.44494986906251
2003-07-28,101.8488837004718,105.26835293519551,120.56117832540028
2003-07-29,101.84866173900677,105.26763008565807,120.56987975179048
2003-07-30,101.82010639653454,105.17905371789789,120.47813911904908
2003-07-31,101.83330301454454,105.21991502369728,120.53434790587116
2003-08-01,101.70206527161605,104.81307370603278,120.0775715875908
2003-08-04,101.75551762805107,104.97823252113398,120.29494575946975
2003-08-05,101.75172713157829,104.96646637010656,120.2908854381874
2003-08-06,101.63257720825057,104.59768883952955,119.8776580751718
2003-08-07,101.6692159837118,104.7107775661124,120.01663404821787
2003-08-08,101.70066489655505,104.80791237970456,120.13706556652488
2003-08-11,101.81273122240204,105.15427960188798,120.56168407805632
2003-08-12,101.76124826951103,104.99472707766552,120.38805833495059
2003-08-13,101.84453325575777,105.25248669608938,120.69295561499851
2003-08-14,101.77280035484853,105.03005234389774,120.44710925094783
2003-08-15,101.75281776950402,104.96815142154415,120.38539154918055
2003-08-18,101.72369844312755,104.87792950688629,120.30969864942192
2003-08-19,101.63256005668278,104.59600185658398,119.99538547332203
2003-08-20,101.73972607873203,104.92683990092954,120.38395620964579
2003-08-21,101.80467503013826,105.12775606024768,120.62349053741737
2003-08-22,101.74426115502828,104.94056383160819,120.41797287445557
2003-08-25,101.81707561362154,105.1657659693154,120.70412744878337
2003-08-26,101.77541243772528,105.0366310509493,120.56505975740886
2003-08-27,101.82816258879828,105.19991783605448,120.76154051090158
2003-08-28,101.73892701745804,104.92331217550016,120.45309346814228
2003-08-29,101.7909497402753,105.08423071593148,120.64679601755861
2003-09-02,101.86587485061753,105.3161398662294,120.9493776761886
2003-09-03,101.85781159594353,105.29109615430721,120.92967274126786
2003-09-04,101.76603153908177,105.00644057554017,120.61181280243977
2003-09-05,101.81646320176125,105.1625185388445,120.79990889124971
2003-09-08,101.83639836806553,105.22418569912548,120.89738374012873
2003-09-09,101.83019151837152,105.20491110674006,120.88410178699588
2003-09-10,101.7823003055505,105.05644144139265,120.72245371330537
2003-09-11,101.83730235657751,105.22672098643272,120.92707202860412
2003-09-12,101.80977610817025,105.14135920394276,120.83779654952109
2003-09-15,101.86471358858928,105.31146108979742,121.05960292835934
2003-09-16,101.86184221436478,105.3025208722367,121.05824441224402
2003-09-17,101.84844683995205,105.26094272632189,121.01940682859913
2003-09-18,101.87444155425078,105.3415051703437,121.12094580896458
2003-09-19,101.8578812111303,105.29009872795235,121.0707090666092
2003-09-22,101.85591886999654,105.28390949084796,121.09015236711636
2003-09-23,101.87740473980855,105.35050182601843,121.1755801126563
2003-09-24,101.86880272412404,105.32378139063132,121.15363362390656
2003-09-25,101.67812370086855,104.73230850508773,120.48186436474705
2003-09-26,101.84425378609505,105.24563486358022,121.08083454118592
2003-09-29,101.94215291698052,105.54903711992658,121.45554672815008
2003-09-30,101.83028837428354,105.201534925839,121.06427012507464
2003-10-01,101.94542785750504,105.5583543917569,121.48340333280463
2003-10-02,102.04427738702704,105.86537790166814,121.84535625330155
2003-10-03,102.12515812704154,106.11707117953448,122.14370104528207
2003-10-06,101.95776286146456,105.59515140346436,121.56921959534814
2003-10-07,102.06032419203082,105.91377744221397,121.9447359771209
2003-10-08,102.02230925548656,105.79539186465665,121.81707476909465
2003-10-09,102.09506620588205,106.021700226599,122.0863193617435
2003-10-10,102.00059436179929,105.72734951614943,121.75599436380907
2003-10-14,102.0909447850433,106.00816476259322,122.11443784584945
2003-10-15,102.10267343063701,106.04466592846958,122.16532052204066
2003-10-16,102.04265101483803,105.85761175877221,121.95873718209927
2003-10-17,101.89406496558829,105.39515371977532,121.43472618907074
2003-10-20,101.92576308062178,105.49341149864952,121.57430523156958
2003-10-21,101.95813212462903,105.59388293257335,121.6989519694794
2003-10-22,101.86878658147202,105.31625360137657,121.3877645659377
2003-10-23,101.98075201574403,105.66348275998473,121.79672496533638
2003-10-24,101.79793849967554,105.0952021781954,121.15033230088439
2003-10-27,101.89875642382577,105.40734865204254,121.53620684894273
2003-10-28,101.81713715748228,105.15402522057013,121.2528984911415
2003-10-29,101.84946281811231,105.25414589126328,121.37727032301291
2003-10-30,101.86783113825679,105.3110583282573,121.4516765091872
2003-10-31,101.80515224728804,105.11663121856118,121.23613826331881
2003-11-03,101.91447533121078,105.4551646291343,121.65282346889337
2003-11-04,101.81903391909228,105.1588583117208,121.31976088640295
2003-11-05,101.86965525793279,105.31566913396982,121.50980108731481
2003-11-06,101.89003333825129,105.37883678000156,121.59165028926759
2003-11-07,101.82992415569778,105.1923000150282,121.38554205026388
2003-11-10,101.79029394503777,105.06938000017848,121.2709806565593
2003-11-12,101.94445929838503,105.54670572609929,121.83999256269841
2003-11-13,101.93793464022977,105.52640539747868,121.82578826099176
2003-11-14,101.88106407723379,105.34975305587031,121.6309457895057
2003-11-17,101.92142978747552,105.4748691255985,121.80271675010894
2003-11-18,101.90400177681002,105.42072756047908,121.74942087019542
2003-11-19,101.95160948430528,105.56844487623668,121.92925117101193
2003-11-20,101.93579674775552,105.51928904118425,121.8816971094194
2003-11-21,101.95843782610127,105.58956538586885,121.97192687218494
2003-11-24,102.0464919570983,105.863031282891,122.31511519250216
2003-11-25,102.01856113347529,105.77607016889483,122.22379472812592
2003-11-26,102.13752138064206,106.14606063111263,122.66045878808254
2003-11-28,102.1920542858453,106.31601017158566,122.8751697714169
2003-12-01,102.19251536034304,106.31734435446428,122.90410003626877
2003-12-02,102.18706317963004,106.3002926543662,122.89358735818705
2003-12-03,102.29255843719731,106.62948265136515,123.28336522104912
2003-12-04,102.30155090327703,106.65756876110804,123.32507913442102
2003-12-05,102.29700472890755,106.64331444180782,123.31782807269273
2003-12-08,102.39457697109005,106.94836248913582,123.69835895431916
2003-12-09,102.40390036153579,106.97754141447464,123.7414072184775
2003-12-10,102.35818840673478,106.83424551286846,123.58494528032851
2003-12-11,102.35252939829304,106.81649096966332,123.57368092569725
2003-12-12,102.59814892871479,107.58545149396011,124.47241912537419
2003-12-15,102.67471554498229,107.82621079704725,124.77874727346996
2003-12-16,102.65689304825854,107.77002523447142,124.72324895418588
2003-12-17,102.6557741606918,107.76646595195088,124.72828752538048
2003-12-18,102.68522642926581,107.85918614886056,124.84481073770033
2003-12-19,102.76294220057254,108.10404550333152,125.13737319703509
2003-12-22,102.75320616358503,108.0732126980478,125.12938070474904
2003-12-23,102.77618220195978,108.14567400810145,125.22259917649095
2003-12-24,102.68577023485501,107.86023196389476,124.90132981236421
2003-12-26,102.756846331611,108.08413409344621,125.18013292427008
2003-12-29,102.79320059283077,108.1987444086144,125.34153494621461
2003-12-30,102.82510049101428,108.29944105150227,125.46728246665084
2003-12-31,102.80986182752628,108.2512555665495,125.42055060455404
2004-01-02,102.90408809398981,108.54882436451702,125.78362566037637
2004-01-05,102.87020916022178,108.44150535180478,125.68632050924302
2004-01-06,102.81697626996471,108.27312198861935,125.50001671086774
2004-01-07,102.86188567380823,108.41496416947554,125.67322557704857
2004-01-08,102.9199516556698,108.59853068267627,125.8948381777959
2004-01-09,102.79583650617575,108.20560547646978,125.4481450656964
2004-01-12,102.90474710520412,108.54942502379359,125.87310238310636
2004-01-13,102.92549927581402,108.61506083109863,125.95795187197731
2004-01-14,102.95225040186153,108.69971478213328,126.06476728360553
2004-01-15,103.00899836129449,108.87942704435932,126.28157838240368
2004-01-16,103.06610512714522,109.06047499966031,126.4998008640722
2004-01-20,103.04510107237385,108.99365466407629,126.45521861317854
2004-01-21,103.02755656945301,108.93794691195774,126.39864456898944
2004-01-22,103.02157920408635,108.91895028860509,126.38456799140143
2004-01-23,103.22456288288417,109.56272433164432,127.13943402624433
2004-01-26,103.19159381639331,109.45763607128266,127.04119426658211
2004-01-27,103.12053061179954,109.23146508432107,126.78652537348289
2004-01-28,103.25362723082281,109.654380992407,127.28522900415228
2004-01-29,103.15420803823834,109.33759819926614,126.92560952504304
2004-01-30,103.09801113966479,109.1588656963144,126.72626331708902
2004-02-02,103.17835807478164,109.41396881046687,127.04684084132214
2004-02-03,103.14800757547154,109.317378620012,126.9427562510786
2004-02-04,103.1590442141387,109.35243292860534,126.99147197591066
2004-02-05,103.13741301921017,109.283607357831,126.9196511100472
2004-02-06,103.05613565484381,109.02520882375202,126.6275224215619
2004-02-09,103.11586304407253,109.21466167370697,126.87149849300248
2004-02-10,103.17332347584791,109.39720257279336,127.09155949660288
2004-02-11,103.11166634551272,109.20103690900622,126.8715204883418
2004-02-12,103.21459032628688,109.5280078093875,127.2592457163399
2004-02-13,103.17561922006253,109.40390714187716,127.12286455895277
2004-02-17,103.19408284314812,109.46249779867897,127.22231232358956
2004-02-18,103.2039073535444,109.49372568054429,127.26645972150177
2004-02-19,103.19517982437385,109.46591138304345,127.24201074051187
2004-02-20,103.17196227327734,109.39199024587877,127.16388396366915
2004-02-23,103.18405682542273,109.43035345150709,127.23190215866876
2004-02-24,103.23667696890331,109.59773406210932,127.43421498827381
2004-02-25,103.24523383370321,109.62495035018819,127.47351013483159
2004-02-26,103.26553878141414,109.68959319457439,127.55630873677968
2004-02-27,103.21202419213566,109.51902608392173,127.36558433811473
2004-03-01,103.2183932630759,109.53919285371303,127.41190103984079
2004-03-02,103.2238514386403,109.5565340967666,127.43976531095262
2004-03-03,103.23783357984885,109.6010178740037,127.49921255425494
2004-03-04,103.20838163873111,109.50718010320435,127.39779504437898
2004-03-05,103.14702471319244,109.31183950090164,127.17813937946335
2004-03-08,103.21207045657349,109.51853159776935,127.44143500499348
2004-03-09,103.15857026067567,109.34818810140933,127.25081558704794
2004-03-10,103.113246533089,109.20402256100837,127.09067515327541
2004-03-11,103.06257977698317,109.04300791612025,126.91070077670412
2004-03-12,102.99763375916808,108.83682811527966,126.67800695072371
2004-03-15,102.98780410827877,108.80556003448694,126.66336420676375
2004-03-16,102.98503646679838,108.79675230817894,126.6603463327489
2004-03-17,102.97125172052452,108.75302857235151,126.6166891599892
2004-03-18,102.99289628073507,108.82157248756758,126.70372825870959
2004-03-19,102.982834279558,108.78964239080956,126.67375425404322
2004-03-22,102.93434914872017,108.6358781267821,126.51627988939931
2004-03-23,102.96684014935352,108.73871443797613,126.64322054948785
2004-03-24,102.94972230735924,108.68444650643382,126.58708826754584
2004-03-25,102.95687890184107,108.70707651350703,126.62059028565236
2004-03-26,103.03346093981777,108.94961833338282,126.91027732557158
2004-03-29,103.03917614003674,108.96764096140308,126.95294327511229
2004-03-30,103.00720535730426,108.86617437277138,126.84197098116236
2004-03-31,103.01798188702101,108.90030705196591,126.88883231500397
2004-04-01,103.03808738359999,108.96403180948892,126.97016130933353
2004-04-02,103.16996570576063,109.38238477927247,127.4648472022718
2004-04-05,103.0677685907096,109.05722424839819,127.10764760248425
2004-04-06,102.99387708681691,108.82263197287962,126.84148102230246
2004-04-07,103.00448706455751,108.85622748713126,126.88776325466927
2004-04-08,103.00712619371062,108.86455887729032,126.90435097532449
2004-04-12,103.05084403125552,109.00302704742302,127.09426255955385
2004-04-13,103.10646005410975,109.17947636919428,127.30706919255243
2004-04-14,103.0644344668905,109.04593773562723,127.15850513350088
2004-04-15,103.04009628830009,108.96864983804339,127.07549011470833
2004-04-16,103.06369423588535,109.04348107652577,127.16976054907671
2004-04-19,103.14214330095284,109.29237547404347,127.48103956015396
2004-04-20,103.1689129327755,109.37743715300358,127.58726359859716
2004-04-21,103.10996895469393,109.18992782341694,127.37554512664782
2004-04-22,103.10514820027284,109.17457688358422,127.36462743403767
2004-04-23,103.20293888464596,109.48518279971452,127.73394269828857
2004-04-26,103.18463153255033,109.42680954126793,127.68684497752723
2004-04-27,103.21269451243478,109.51605553424494,127.79800096515051
2004-04-28,103.2699195096266,109.69817898134806,128.0175471315936
2004-04-29,103.26065222868147,109.66861048752628,127.99007997211666
2004-04-30,103.16331493579902,109.35844142125154,127.63500837802475
2004-05-03,103.21734665868247,109.53016269765708,127.856177237579
2004-05-04,103.2138829944375,109.51910017754933,127.85024509197531
2004-05-05,103.21696626219372,109.52887903436199,127.86871525070183
2004-05-06,103.17424259601266,109.39283412726546,127.71695664624609
2004-05-07,103.28143627034854,109.73376174626861,128.12208487069552
2004-05-10,103.06157224033726,109.03285503463107,127.32507276414393
2004-05-11,103.05262058566794,109.00440827487263,127.29896282396224
2004-05-12,103.11362384528191,109.19795191727867,127.5320938363413
2004-05-13,103.11070815760048,109.18865282386224,127.52838572102338
2004-05-14,103.03342598446473,108.94310402491215,127.24868630564295
2004-05-17,102.9807965880966,108.77605251760956,127.07478313486844
2004-05-18,103.04146674375826,108.96826988213904,127.30654972193112
2004-05-19,103.00316081733996,108.84670636543535,127.17169929117127
2004-05-20,102.98179384375634,108.77893310455724,127.09967593803717
2004-05-21,103.01528929673974,108.88504036467494,127.23071932214553
2004-05-24,103.01178245235279,108.8738129915566,127.23912120395455
2004-05-25,103.01883418077556,108.89613624830251,127.27237726754817
2004-05-26,102.91873644310303,108.57867527987942,126.90851729116399
2004-05-27,102.91069568380948,108.55319071829268,126.88583392213229
2004-05-28,102.96226716669943,108.7163523235149,127.08361094481356
2004-05-31,102.96226716669943,108.71624509646291,127.10484379454768
2004-06-01,102.94201362391942,108.6520531584283,127.03693996533964
2004-06-02,102.97631613431817,108.76063309524741,127.17108670555682
2004-06-03,102.95334429879144,108.6878107558669,127.09312863003244
2004-06-04,103.03119912285754,108.9343489571928,127.38860622892096
2004-06-07,102.97490455491527,108.75568177414269,127.20130519657435
2004-06-08,102.9755810438061,108.75778941517126,127.21101555325318
2004-06-09,103.0179931961058,108.89213460314441,127.37539427954832
2004-06-10,103.03629746390558,108.95014276398888,127.45050037013581
2004-06-14,103.06551088614387,109.0426698410819,127.58768245058671
2004-06-15,102.93203798302628,108.61899348602704,127.09922871046693
2004-06-16,103.07802798682137,109.08112546171046,127.6474492598798
2004-06-17,103.05998382797203,109.02380453507658,127.58789089449422
2004-06-18,103.10335314008536,109.16140564531011,127.7563746380807
2004-06-21,103.06603213214333,109.04275641249008,127.63989694775522
2004-06-22,103.08166848402868,109.09234984051011,127.70523969928055
2004-06-23,103.02488248494687,108.91202242020485,127.50145799020439
2004-06-24,103.02195137578616,108.90269080985048,127.49802652608567
2004-06-25,103.04314151640743,108.96985417984337,127.58410195451904
2004-06-28,103.08885694956764,109.11478112435555,127.77617737526468
2004-06-29,103.02647809400243,108.9166698612898,127.55154956830349
2004-06-30,103.01446887404234,108.87854663312038,127.51411300616104
2004-07-01,103.027443478605,108.91965038132592,127.56953606492725
2004-07-02,102.92991598747814,108.6102991156578,127.21434570589676
2004-07-06,102.99249943466842,108.80826779151333,127.47479355611691
2004-07-07,102.95923119147965,108.70279152762336,127.35837494432498
2004-07-08,102.94191081405756,108.6478960159728,127.3011798609311
2004-07-09,102.9460807820533,108.66106361376266,127.32371608605992
2004-07-12,102.94788406702975,108.66666661689541,127.35169116975467
2004-07-13,102.94602937712239,108.66075773558173,127.3521456875643
2004-07-14,102.90662030088664,108.53593176621959,127.21315383050108
2004-07-15,102.91401541424791,108.55929503020438,127.2478775469256
2004-07-16,102.86539868678692,108.405408642701,127.07468810975477
2004-07-19,102.9543723974097,108.68659820996407,127.4260455050712
2004-07-20,102.98955084783124,108.79797375650438,127.56387518571326
